x,y,cat
1.213,0.043000000000000003,1
0.785,0.054,0
0.774,0.051000000000000004,0
0.34400000000000003,0.057,0
0.5750000000000001,0.088,0
1.07,0.058,1
0.776,0.09,0
1.214,0.07,1
0.443,0.15,0
0.507,0.051000000000000004,0
1.238,0.055,1
0.716,0.078,0
0.63,0.036000000000000004,0
1.174,0.08700000000000001,1
1.004,0.061,1
1.487,0.15,1
0.519,0.05,0
0.507,0.137,0
1.067,0.139,1
0.96,0.089,1
1.163,0.053,1
0.869,0.08,1
1.308,0.088,1
0.924,0.121,1
0.522,0.036000000000000004,0
1.135,0.11,1
1.541,0.168,1
1.041,0.108,1
0.896,0.128,1
0.482,0.053,0
1.243,0.115,1
1.205,0.077,1
1.221,0.094,1
1.204,0.105,1
0.916,0.058,1
0.973,0.055,1
0.717,0.093,0
1.24,0.089,1
0.847,0.14,0
0.483,0.121,0
1.223,0.09,1
1.039,0.066,1
1.234,0.058,1
0.579,-0.002,0
0.738,0.065,0
1.274,0.10300000000000001,1
1.219,0.06,1
0.91,0.10300000000000001,1
1.189,0.148,1
0.247,-0.015,0
0.463,0.096,0
1.183,0.115,1
1.236,0.151,1
0.9480000000000001,0.11800000000000001,1
0.531,0.152,0
0.387,0.013000000000000001,0
0.545,0.109,0
1.372,0.165,1
1.502,0.171,1
1.096,0.096,1
0.442,0.094,0
1.1480000000000001,0.10200000000000001,1
0.9460000000000001,0.08600000000000001,1
1.247,0.079,1
0.9470000000000001,0.132,1
0.708,0.046,0
0.779,0.043000000000000003,0
1.177,0.156,1
0.845,0.06,0
0.733,0.107,0
0.856,0.063,0
0.987,0.05,1
1.083,0.157,1
1.006,0.147,1
0.995,0.111,1
1.0110000000000001,0.076,1
1.2790000000000001,0.089,1
0.767,0.075,0
0.9560000000000001,0.15,1
0.559,0.11800000000000001,0
0.975,0.033,1
1.366,0.168,1
1.056,0.11900000000000001,1
1.184,0.123,1
1.097,0.14300000000000002,1
0.8200000000000001,0.1,0
0.6900000000000001,0.065,0
0.645,0.025,0
1.006,0.137,1
0.428,0.096,0
0.536,0.09,0
1.3960000000000001,0.031,1
1.123,0.08600000000000001,1
1.183,0.061,1
0.625,0.112,0
1.026,0.078,1
1.125,0.149,1
0.98,0.11900000000000001,1
1.447,0.187,1
0.683,0.159,0
0.771,0.061,0
1.481,0.188,1
0.867,0.116,1
0.898,0.13,1
1.241,0.088,1
1.095,0.113,1
1.1400000000000001,0.08600000000000001,1
1.137,0.147,1
0.757,0.05,0
0.517,0.069,0
0.331,0.089,0
1.1520000000000001,0.088,1
1.335,0.159,1
0.503,0.011,0
0.841,0.112,0
0.885,0.094,1
0.646,0.08600000000000001,0
0.552,0.034,0
0.521,0.016,0
0.768,0.07200000000000001,0
1.056,0.128,1
0.537,0.088,0
0.34500000000000003,0.116,0
0.425,-0.007,0
0.529,-0.002,0
0.674,0.117,0
0.20600000000000002,0.158,0
0.91,0.079,1
0.5650000000000001,0.06,0
0.433,0.017,0
0.581,-0.01,0
0.466,0.10300000000000001,0
0.451,0.109,0
0.98,0.156,1
1.289,0.162,1
1.205,0.186,1
0.793,0.153,0
0.465,0.10400000000000001,0
1.476,0.181,1
0.524,0.032,0
0.513,0.046,0
0.5700000000000001,0.042,0
0.15,0,0
0.847,0.056,0
0.496,0.058,0
1.5030000000000001,0.182,1
0.905,0.076,1
0.541,0.09,0
0.72,0.093,0
0.769,0.094,0
0.652,0.056,0
0.966,0.129,1
0.486,0.047,0
0.495,0.045,0
0.516,0.007,0
0.978,0.1,1
1.383,0.014,1
1.176,0.147,1
0.798,0.081,0
1.156,0.14300000000000002,1
0.711,0.082,0
0.834,0.079,0
0.47600000000000003,0.003,0
0.89,0.059000000000000004,1
0.764,0.10300000000000001,0
1.1340000000000001,0.132,1
1.036,0.134,1
1.064,0.114,1
1.217,0.075,1
0.85,0.092,0
0.488,0.108,0
0.6960000000000001,0.062,0
1.0150000000000001,0.14,1
0.9460000000000001,0.10400000000000001,1
0.965,0.097,1
1.361,0.176,1
0.785,0.09,0
1.71,0.082,1
1.01,0.10200000000000001,1
0.47400000000000003,0.105,0
1.1340000000000001,0.132,1
0.9570000000000001,0.10200000000000001,1
0.36,0.106,0
0.268,0.013000000000000001,0
0.591,0.041,0
0.85,0.088,0
1.03,0.106,1
0.9460000000000001,0.101,1
0.8310000000000001,0.069,0
1.312,0.167,1
0.49,0.123,0
0.538,0.039,0
0.55,0.111,0
0.641,0.124,0
0.483,0.042,0
0.793,0.074,0
0.202,0.06,0
0.773,0.095,0
0.581,0.047,0
0.527,0.1,0
1.438,0.026000000000000002,1
0.512,0.002,0
0.484,0.137,0
1.064,0.121,1
1.066,0.112,1
0.362,0.097,0
0.395,0.099,0
1.073,0.117,1
0.653,0.068,0
0.47100000000000003,0.1,0
1.121,0.149,1
0.588,-0.007,0
0.6970000000000001,0.076,0
0.551,0.10200000000000001,0
0.5760000000000001,0.064,0
0.9560000000000001,0.052000000000000005,1
0.966,0.075,1
0.6900000000000001,0.053,0
1.099,0.13,1
0.893,0.169,1
0.709,0.094,0
0.778,0.092,0
0.528,0.096,0
0.40900000000000003,0.054,0
0.717,0.07,0
1.416,0.017,1
0.601,0.038,0
1.119,0.139,1
0.357,0.128,0
0.8130000000000001,0.084,0
1.074,0.114,1
0.624,0.053,0
1.01,0.053,1
1.22,0.085,1
0.866,0.083,0
1.286,0.034,1
0.498,0.089,0
1.631,0.184,1
0.772,0.074,0
1.252,0.185,1
1.256,0.188,1
0.046,-0.016,0
0.766,0.068,0
1.0070000000000001,0.047,1
0.9380000000000001,0.08,1
0.518,-0.004,0
0.986,0.116,1
0.784,0.112,0
0.495,0.062,0
0.617,0.044,0
0.507,0.088,0
0.5760000000000001,0.08700000000000001,0
0.444,0.136,0
1.41,0.147,1
0.841,0.122,0
0.5750000000000001,0.044,0
0.524,0.084,0
0.40700000000000003,-0.004,0
0.748,0.06,0
0.93,0.069,1
1.04,0.146,1
0.525,0.105,0
0.499,0.138,0
0.836,0.096,0
1.095,0.159,1
0.833,0.055,0
0.992,0.041,1
1.1440000000000001,0.14300000000000002,1
0.35000000000000003,0.07200000000000001,0
0.627,0.075,0
1.48,0.019,1
0.812,0.064,0
1.408,0.17200000000000001,1
1.308,0.145,1
0.426,0.096,0
0.853,0.06,0
0.5630000000000001,0.081,0
0.531,0.039,0
0.534,0.037,0
1.572,0.176,1
0.889,0.106,1
1.299,0.158,1
0.504,0.004,0
1.445,0.159,1
0.579,0.055,0
0.898,0.08,1
1.766,0.043000000000000003,1
0.9450000000000001,0.054,1
0.713,0.065,0
0.586,0.074,0
0.467,0.033,0
0.637,0.052000000000000005,0
0.373,0.114,0
1.18,0.15,1
0.895,0.068,1
0.338,-0.015,0
0.54,0.132,0
0.341,0.049,0
0.388,-0.004,0
0.743,0.064,0
0.892,0.14100000000000001,1
0.462,0.094,0
0.264,0.013000000000000001,0
0.441,0.159,0
0.601,0.056,0
0.931,0.053,1
1.145,0.133,1
0.928,0.065,1
1.499,0.161,1
1.485,0.14400000000000002,1
0.37,0.085,0
0.641,0.082,0
0.47900000000000004,0.028,0
0.483,0.088,0
0.61,0.048,0
0.86,0.116,0
0.454,0.016,0
1.103,0.154,1
1.226,0.182,1
0.75,0.16,0
0.398,-0.001,0
0.588,0.062,0
0.538,0.031,0
0.4,0.157,0
0.557,0.106,0
0.28600000000000003,0.028,0
1.157,0.073,1
0.522,0.095,0
0.736,0.066,0
0.535,0.088,0
1.062,0.11900000000000001,1
0.418,0.003,0
1.561,0.202,1
0.55,0.003,0
1.224,0.145,1
0.226,0.137,0
0.5630000000000001,0.054,0
1.121,0.146,1
0.9530000000000001,0.091,1
0.87,0.07200000000000001,1
0.731,0.069,0
1.0190000000000001,0.151,1
1.736,-0.006,1
0.655,0.053,0
1.028,0.149,1
1.139,0.14,1
0.855,0.088,0
0.2,0.115,0
0.08,0,0
0.482,0.012,0
0.6910000000000001,0.061,0
1.323,-0.004,1
0.3,0.014,0
1.374,0.148,1
1.182,0.154,1
1.155,0.15,1
1.5110000000000001,0.17,1
1.451,0.031,1
0.7020000000000001,0.062,0
0.5630000000000001,0.056,0
0.706,0.10200000000000001,0
0.612,0.082,0
0.494,0.078,0
0.531,0.093,0
1.0030000000000001,0.14300000000000002,1
0.709,0.09,0
1.274,0.117,1
0.606,0.04,0
0.437,0.089,0
0.554,0.057,0
0.5670000000000001,0.056,0
1.109,0.147,1
1.316,0.107,1
0.528,-0.002,0
1.249,0.09,1
0.8290000000000001,0.066,0
1.032,0.15,1
1.439,0.162,1
0.909,0.057,1
0.681,0.069,0
1.312,0.054,1
0.9,0.108,1
0.971,0.109,1
0.972,0.129,1
1.619,0.07200000000000001,1
0.487,0.061,0
1.579,0.198,1
0.8270000000000001,0.092,0
0.401,0.002,0
0.904,0.062,1
1.349,0.153,1
0.555,0.155,0
0.53,-0.001,0
0.558,0.06,0
1.2550000000000001,0.147,1
0.84,0.057,0
0.89,0.08600000000000001,1
1.1460000000000001,0.139,1
0.304,0.14200000000000002,0
0.934,0.146,1
0.634,0.073,0
1.405,0.168,1
0.811,0.075,0
0.8150000000000001,0.096,0
0.9410000000000001,0.149,1
0.928,0.065,1
0.881,0.093,1
0.887,0.091,1
0.52,0.06,0
1.039,0.121,1
0.47100000000000003,0.153,0
0.907,0.096,1
0.40900000000000003,0.003,0
0.8290000000000001,0.029,0
0.795,0.081,0
0.452,0.012,0
0.489,-0.003,0
0.583,0.015,0
1.01,0.122,1
0.649,0.046,0
0.535,0.039,0
0.873,0.14,1
0.9380000000000001,0.139,1
0.9590000000000001,0.137,1
1.02,0.136,1
0.428,-0.006,0
0.589,0.058,0
1.754,0.183,1
0.514,0.01,0
1.321,0.152,1
0.878,0.11800000000000001,1
0.886,0.11800000000000001,1
0.655,0.123,0
1.291,-0.007,1
0.732,0.106,0
0.525,0.127,0
1.043,0.047,1
0.47500000000000003,0.045,0
1.127,0.10300000000000001,1
0.763,0.067,0
1.576,0.075,1
1.296,0.17,1
0.516,0.088,0
1.49,0.168,1
0.987,0.088,1
0.535,0.166,0
1.242,-0.02,1
1.065,0.151,1
0.683,0.066,0
0.582,0.098,0
0.582,0.097,0
0.486,0.08700000000000001,0
0.88,0.138,1
0.53,0.155,0
0.65,0.041,0
0.5680000000000001,0.049,0
0.81,0.095,0
1.198,0.055,1
1.516,0.167,1
0.737,0.059000000000000004,0
0.579,0.066,0
0.543,0.016,0
0.578,0.13,0
0.621,0.1,0
1.504,0.15,1
0.531,0.027,0
0.723,0.095,0
0.40700000000000003,-0.022,0
1.186,0.14200000000000002,1
0.784,0.065,0
0.484,0.045,0
0.558,0.044,0
0.876,0.059000000000000004,1
0.9490000000000001,0.121,1
0.8290000000000001,0.07100000000000001,0
0.491,0.059000000000000004,0
0.47500000000000003,0.006,0
0.5710000000000001,0.052000000000000005,0
0.5710000000000001,0.052000000000000005,0
0.981,0.097,1
0.802,0.056,0
0.41100000000000003,0.10200000000000001,0
1.016,0.136,1
0.41200000000000003,0.049,0
0.521,0.04,0
0.8280000000000001,0.107,0
0.855,0.064,0
1.41,0.132,1
0.34700000000000003,0.009000000000000001,0
1.057,0.156,1
1.192,0.146,1
1.117,0.138,1
0.541,0.056,0
0.518,0.024,0
0.427,0.031,0
0.904,0.10400000000000001,1
0.447,0.048,0
0.788,0.084,0
1.532,0.093,1
0.857,0.128,0
1.693,0.182,1
0.966,0.079,1
1.622,0.191,1
1.553,0.036000000000000004,1
1.0090000000000001,0.077,1
0.626,0.053,0
0.687,0.069,0
0.451,0.111,0
0.761,0.083,0
0.676,0.096,0
0.58,0.064,0
0.376,0.168,0
0.484,0.006,0
0.363,-0.01,0
0.423,0.034,0
1.039,0.045,1
0.862,0.07200000000000001,0
0.446,0.099,0
0.885,0.125,1
0.453,0.156,0
0.916,0.107,1
0.539,0.002,0
0.962,0.13,1
0.999,0.123,1
0.47500000000000003,0.091,0
0.838,0.054,0
0.547,0.125,0
0.8180000000000001,0.055,0
1.072,0.151,1
0.395,0.074,0
0.533,0.041,0
1.47,0.159,1
0.604,0.08700000000000001,0
0.81,0.081,0
1.483,0.163,1
1.048,0.139,1
0.758,0.092,0
0.762,0.093,0
0.8230000000000001,0.093,0
1.137,0.154,1
0.591,0.147,0
0.4,0.211,0
0.905,0.081,1
0.5630000000000001,0.043000000000000003,0
0.47500000000000003,0.133,0
0.511,-0.001,0
0.389,0.111,0
0.517,0.008,0
1.301,0.155,1
1.635,0.157,1
0.47000000000000003,0.006,0
0.58,0.041,0
0.545,0.023,0
0.972,0.097,1
1.47,0.153,1
1.2670000000000001,0.17300000000000001,1
0.463,0.004,0
0.523,0,0
0.9550000000000001,0.064,1
0.324,0.014,0
1.59,0.043000000000000003,1
0.812,0.085,0
0.5710000000000001,0.04,0
0.662,0.063,0
0.595,0.015,0
0.662,0.07200000000000001,0
0.253,0.164,0
0.589,0.079,0
0.976,0.132,1
0.293,0.07,0
1.201,0.065,1
1.18,0.153,1
0.47600000000000003,0.10200000000000001,0
0.40900000000000003,0.016,0
0.809,0.067,0
0.339,0.165,0
1.294,0.153,1
0.526,0.02,0
1.466,0.179,1
0.963,0.117,1
0.487,0.002,0
0.908,0.137,1
0.511,0.034,0
1.445,0.148,1
0.212,-0.005,0
0.15,0,0
0.405,0.059000000000000004,0
0.806,0.046,0
0.7000000000000001,0.065,0
0.38,0.098,0
0.627,0.158,0
1.0150000000000001,0.147,1
1.486,0.171,1
1.012,0.132,1
0.799,0.058,0
0.463,0.111,0
0.435,0.10300000000000001,0
1.12,0.156,1
1.024,0.126,1
0.545,0.019,0
1.414,0.147,1
0.506,0.057,0
1.1440000000000001,0.149,1
0.387,0.052000000000000005,0
0.392,0.05,0
1.1460000000000001,0.146,1
1.379,0.183,1
1.151,0.151,1
0.561,0.092,0
1.025,0.158,1
1.092,0.154,1
0.734,0.057,0
0.897,0.067,1
0.503,0.115,0
0.489,-0.001,0
0.783,0.08600000000000001,0
1.067,0.117,1
1.1400000000000001,0.005,1
1.465,0.15,1
0.924,0.124,1
0.9420000000000001,0.091,1
0.48,0.023,0
0.617,-0.002,0
0.484,-0.015,0
1.111,0.14100000000000001,1
1.028,0.147,1
0.677,0.058,0
0.482,0.149,0
1.303,0.114,1
0.741,0.078,0
1.449,0.08700000000000001,1
0.538,0.10400000000000001,0
0.968,0.085,1
0.488,0.09,0
0.7020000000000001,0.065,0
0.483,0.068,0
0.5710000000000001,0.037,0
0.907,0.099,1
0.495,0.004,0
0.593,0.043000000000000003,0
0.848,0.068,0
0.554,0.064,0
0.427,0.07100000000000001,0
0.523,0.20800000000000002,0
0.524,0.06,0
1.524,0.15,1
1.5330000000000001,0.189,1
1.478,0.176,1
0.509,0.124,0
0.179,0.048,0
1.225,0.156,1
0.62,0.07,0
1.649,0.048,1
1.028,0.128,1
0.36,0.089,0
0.786,0.116,0
0.847,0.113,0
1.083,0.053,1
0.99,0.065,1
0.788,0.07200000000000001,0
0.467,-0.009000000000000001,0
1.145,0.137,1
1.107,0.133,1
0.509,0.005,0
0.839,0.133,0
0.8240000000000001,0.062,0
0.436,0.135,0
0.974,0.08600000000000001,1
1.079,0.139,1
1.2750000000000001,0.15,1
0.998,0.14300000000000002,1
0.835,0.075,0
0.514,-0.003,0
0.805,0.112,0
0.531,0.04,0
0.64,0.014,0
1.225,0.155,1
1.3900000000000001,0.17,1
0.47200000000000003,0.04,0
0.373,0.088,0
0.617,0.089,0
0.592,0.013000000000000001,0
1.088,0.125,1
1.667,0.194,1
1.2530000000000001,0.151,1
1.549,0.013000000000000001,1
0.834,0.068,0
1.1460000000000001,0.159,1
1.488,0.161,1
0.15,0,0
0.85,0.07100000000000001,0
0.5710000000000001,0.092,0
0.523,-0.013000000000000001,0
0.428,0.058,0
0.864,0.13,1
0.886,0.073,1
1.301,0.169,1
0.51,0.163,0
0.458,0.10400000000000001,0
1.27,0.131,1
0.586,0.037,0
0.596,0.092,0
0.668,0.054,0
1.036,0.109,1
0.6950000000000001,0.096,0
0.301,-0.013000000000000001,0
0.962,0.137,1
0.58,0.035,0
1.291,0.154,1
0.747,0.059000000000000004,0
0.8240000000000001,0.07200000000000001,0
1.127,0.154,1
0.771,0.08600000000000001,0
1.063,0.138,1
0.383,0.005,0
0.999,0.14200000000000002,1
0.931,0.127,1
0.852,0.069,0
1.066,0.066,1
1.081,0.07,1
0.377,0.042,0
0.885,0.171,1
1.109,0.08600000000000001,1
0.924,0.111,1
0.354,0.092,0
0.982,0.054,1
0.544,0.009000000000000001,0
1.518,0.031,1
0.546,-0.004,0
0.37,-0.011,0
1.037,0.062,1
0.459,0.12,0
0.899,0.044,1
0.968,0.05,1
1.212,0.10200000000000001,1
0.9560000000000001,0.062,1
1.127,0.092,1
0.9430000000000001,0.052000000000000005,1
0.463,0.003,0
0.643,-0.002,0
0.8150000000000001,0.078,0
0.6970000000000001,0.052000000000000005,0
0.961,0.147,1
0.796,0.032,0
0.447,0.188,0
0.734,0.009000000000000001,0
0.7000000000000001,0.088,0
0.928,0.046,1
1.493,0.14300000000000002,1
0.871,0.078,1
0.681,0.002,0
0.837,0.03,0
0.9440000000000001,0.047,1
0.8190000000000001,0.1,0
0.869,0.046,0
0.8250000000000001,0.026000000000000002,0
0.629,0.001,0
0.28700000000000003,-0.009000000000000001,0
0.726,0.005,0
0.681,0.006,0
0.988,0.054,1
1.451,0.187,1
0.925,0.055,1
0.8270000000000001,0.036000000000000004,0
1.036,0.064,1
0.423,0.042,0
0.905,0.049,1
1.104,0.15,1
1.091,0.08600000000000001,1
0.9510000000000001,0.105,1
0.385,0.113,0
0.524,0.007,0
1.342,0.20500000000000002,1
0.554,0.098,0
0.526,0.021,0
0.859,0.084,0
0.971,0.052000000000000005,1
0.9470000000000001,0.06,1
0.47300000000000003,-0.003,0
1.0230000000000001,0.116,1
0.8150000000000001,0.068,0
0.417,0.095,0
1.2790000000000001,0.169,1
0.757,0.069,0
0.784,0.083,0
0.5760000000000001,0.105,0
0.785,0.066,0
1.379,0.176,1
0.9440000000000001,0.056,1
0.861,0.092,0
0.597,0.034,0
0.28500000000000003,0.012,0
0.8260000000000001,0.115,0
0.5,0.145,0
1.083,0.124,1
0.324,0.162,0
1.086,0.14300000000000002,1
0.528,0.041,0
0.47900000000000004,0.094,0
1.214,0.145,1
0.902,0.136,1
0.67,0.082,0
0.5630000000000001,0.03,0
0.769,0.045,0
0.28800000000000003,-0.02,0
0.289,-0.018000000000000002,0
1.082,0.14400000000000002,1
0.8,0.112,0
0.804,0.111,0
0.51,0.056,0
0.295,0.159,0
0.99,0.095,1
1.262,0.149,1
0.926,0.085,1
0.716,0.054,0
1.587,0.07,1
0.466,-0.013000000000000001,0
1.528,0.193,1
0.851,0.08600000000000001,0
0.456,0.162,0
0.713,0.068,0
0.538,0.05,0
1.2750000000000001,0.158,1
0.391,0.003,0
0.674,0.062,0
0.547,0.08600000000000001,0
0.546,0.037,0
1.381,0.012,1
1.485,0.161,1
0.436,0.107,0
0.536,0.05,0
0.773,0.093,0
0.59,0.062,0
0.834,0.076,0
0.81,0.055,0
0.999,0.098,1
0.497,0.14200000000000002,0
0.709,0.091,0
0.404,-0.003,0
0.559,0.031,0
0.609,0.095,0
0.551,0.046,0
0.8190000000000001,0.084,0
1.02,0.15,1
0.968,0.122,1
0.973,0.122,1
1.371,0.169,1
1.127,0.132,1
0.849,0.084,0
0.55,0.107,0
1.098,0.113,1
1.414,0.017,1
1.77,0.17,1
1.073,0.112,1
0.557,-0.013000000000000001,0
1.35,0.167,1
1.367,0.17500000000000002,1
0.5720000000000001,0.036000000000000004,0
0.638,0.064,0
1.01,0.08700000000000001,1
1.18,0.14400000000000002,1
0.404,0.033,0
0.867,0.1,1
1.3860000000000001,-0.005,1
0.493,0.033,0
0.41400000000000003,0.095,0
0,0,0
0.546,0.08700000000000001,0
0.47100000000000003,0.101,0
0.529,0.036000000000000004,0
0.484,0.08,0
0.686,0.036000000000000004,0
0.519,0.005,0
0.71,0.107,0
1.048,0.126,1
0.879,0.097,1
1.555,0.107,1
1.156,0.138,1
0.543,0.117,0
0.729,0.062,0
0.487,0.117,0
1.4020000000000001,0.114,1
1.101,0.124,1
0.443,0.082,0
0.386,0.11,0
1.435,0.164,1
1.1360000000000001,0.124,1
1.403,0.158,1
0.5650000000000001,0.028,0
1.177,0.137,1
0.335,0.091,0
1.532,0.154,1
0.765,0.111,0
1.1460000000000001,0.145,1
0.425,0.03,0
0.545,0.11,0
1.559,0.024,1
0.365,0.099,0
0.963,0.117,1
0.6880000000000001,0.056,0
1.268,0.145,1
1.082,0.1,1
1.238,0.10400000000000001,1
0.444,0.108,0
1.522,0.171,1
1.342,0.115,1
0.534,0.108,0
1.292,0.152,1
0.586,0.132,0
0.538,-0.002,0
0.1,0,0
0.1,0,0
0.591,0.166,0
1.336,0.188,1
0.981,0.123,1
0.6990000000000001,0.056,0
1.01,0.067,1
0.376,0.098,0
0.601,0.035,0
1.048,0.124,1
1.229,0.092,1
0.5760000000000001,0.04,0
1.429,-0.002,1
1.2610000000000001,0.14300000000000002,1
1.09,0.128,1
0.48,0.015,0
0.999,0.105,1
0.517,0.008,0
1.164,0.149,1
0.781,0.063,0
1.03,0.10300000000000001,1
0.422,0.013000000000000001,0
0.894,0.076,1
1.143,0.088,1
1.116,0.115,1
1.341,0.041,1
0.429,0.005,0
0.646,0.049,0
0.901,0.094,1
1.325,0.095,1
0.673,0.068,0
1.213,0.14,1
1.256,0.074,1
0.428,0.026000000000000002,0
0.749,0.054,0
0.449,0.025,0
0.524,0.096,0
0.812,0.066,0
0.46900000000000003,0.098,0
1.204,0.08,1
1.306,0.149,1
1.411,0.147,1
1.199,0.099,1
1.041,0.109,1
1.106,0.08600000000000001,1
1.054,0.054,1
0.9480000000000001,0.093,1
0.629,0.066,0
0.684,0.063,0
1.106,0.164,1
0.903,0.084,1
1.114,0.134,1
1.226,0.136,1
0.59,0.032,0
1.258,0.114,1
0.353,0.101,0
1.42,-0.011,1
0.384,0.095,0
0.34,0.018000000000000002,0
0.8270000000000001,0.135,0
0.1,0,0
1.069,0.137,1
1.183,0.095,1
0.659,0.053,0
1.225,0.137,1
1.2510000000000001,0.124,1
1.3900000000000001,0.17400000000000002,1
1.033,0.11800000000000001,1
1.28,0.11,1
0.61,0.046,0
1.278,0.146,1
0.91,0.085,1
0.791,0.065,0
0.558,0.032,0
1.457,0.17500000000000002,1
0.47800000000000004,0.017,0
0.893,0.084,1
0.651,0.043000000000000003,0
1.474,0.067,1
1.217,0.147,1
1.105,0.128,1
1.102,0.122,1
0.894,0.088,1
0.866,0.074,0
0.833,0.089,0
0.742,0.109,0
0.465,0.025,0
1.174,0.14100000000000001,1
0.793,0.079,0
0.969,0.091,1
0.926,0.054,1
0.511,0.17,0
0.526,0.147,0
0.451,0.098,0
0.863,0.14300000000000002,1
0.425,0.122,0
0.768,0.07100000000000001,0
0.085,0.154,0
0.425,0.018000000000000002,0
0.9380000000000001,0.085,1
0.842,0.112,0
1.43,0.162,1
0.637,0.076,0
1.137,0.125,1
1.583,0.162,1
0.327,-0.01,0
0.535,0.032,0
0.649,0.051000000000000004,0
0.427,0.012,0
0.523,0.028,0
1.151,0.137,1
0.8260000000000001,0.075,0
1.036,0.15,1
1.3760000000000001,0.032,1
0.507,0.015,0
0.46900000000000003,0.015,0
0.387,0.109,0
0.921,0.101,1
0.501,0.007,0
0.728,0.063,0
0.545,0.106,0
0.599,0.057,0
0.918,0.065,1
0.606,0.028,0
1.2630000000000001,0.101,1
0.801,0.108,0
1.099,0.149,1
0.529,0,0
0.432,0.161,0
0.428,-0.013000000000000001,0
1.596,0.021,1
1.602,0.158,1
0.774,0.062,0
0.998,0.152,1
0.991,0.112,1
